City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tūkrah,32.5341,20.5791,76.66,42,31,11.99,LY,1635020152
Rosetta,31.4044,30.4164,71.42,64,0,7.83,EG,1635020152
São Filipe,14.8961,-24.4956,79.93,69,4,6.46,CV,1635020153
Tiksi,71.6872,128.8694,0.63,99,100,6.71,RU,1635020153
Chui,-33.6971,-53.4616,62.69,70,100,1.01,UY,1635020154
Hithadhoo,-0.6,73.0833,82.24,74,79,12.35,MV,1635020154
East London,-33.0153,27.9116,62.17,66,49,20.87,ZA,1635020154
Kaitangata,-46.2817,169.8464,51.64,85,100,1.41,NZ,1635020154
Ushuaia,-54.8,-68.3,38.86,60,75,19.57,AR,1635020155
Hilo,19.7297,-155.09,77.25,88,90,4.61,US,1635020155
Rikitea,-23.1203,-134.9692,74.82,82,98,20.58,PF,1635020155
Ilulissat,69.2167,-51.1,21.22,73,75,20.71,GL,1635020156
Saint-Philippe,-21.3585,55.7679,73.47,84,57,13.06,RE,1635020156
Uvalde,29.3669,-99.767,88.75,33,1,11.5,US,1635020157
Albany,42.6001,-73.9662,54.27,58,92,8.25,US,1635020157
Isangel,-19.55,169.2667,77.11,78,90,9.22,VU,1635020157
Krasnoarmiys'k,48.282,37.1758,50.76,65,97,6.2,UA,1635020158
College,64.8569,-147.8028,35.91,84,75,0.0,US,1635020158
São Félix do Xingu,-6.6447,-51.995,82.35,74,100,2.51,BR,1635020159
San Borja,-14.8167,-66.85,104.61,23,19,10.22,BO,1635020159
Katsuura,35.1333,140.3,51.91,59,6,7.43,JP,1635020160
Mnogovershinnyy,53.9353,139.9242,36.9,76,99,16.55,RU,1635020160
Mar del Plata,-38.0023,-57.5575,62.1,68,40,8.01,AR,1635020134
Weinan,34.5036,109.5089,51.49,77,34,2.13,CN,1635020160
Páez,5.1011,-73.0512,71.38,90,71,2.42,CO,1635020161
Ifanadiana,-21.3,47.6333,68.0,99,45,2.93,MG,1635020161
Huilong,31.8111,121.655,63.03,61,100,7.23,CN,1635020162
Yellowknife,62.456,-114.3525,43.41,76,20,21.85,CA,1635020147
Dawei,14.0833,98.2,74.25,94,37,5.08,MM,1635020163
Mataura,-46.1927,168.8643,51.31,96,100,0.27,NZ,1635020163
Jamestown,42.097,-79.2353,50.09,97,90,3.0,US,1635020164
Puerto Ayora,-0.7393,-90.3518,75.16,83,100,9.73,EC,1635019976
Chokurdakh,70.6333,147.9167,-2.06,98,100,6.24,RU,1635020165
Malé,4.1748,73.5089,82.35,73,46,14.34,MV,1635020165
Bengkulu,-3.8004,102.2655,76.06,89,69,3.62,ID,1635020165
Pevek,69.7008,170.3133,10.69,95,100,6.38,RU,1635020165
Bethel,41.3712,-73.414,59.68,63,40,3.44,US,1635020166
Pleshanovo,52.8333,53.4833,49.01,79,100,6.53,RU,1635020166
Kerema,-7.9631,145.7785,76.91,87,100,2.8,PG,1635020166
Hobart,-42.8794,147.3294,50.02,92,75,4.0,AU,1635020097
Ossora,59.2353,163.0719,23.5,92,100,5.68,RU,1635020167
George Town,5.4112,100.3354,79.9,87,20,3.44,MY,1635019884
Bendigo,-36.7667,144.2833,43.86,54,0,3.0,AU,1635020167
Hermanus,-34.4187,19.2345,56.89,70,10,4.54,ZA,1635020168
Cidreira,-30.1811,-50.2056,66.2,90,100,9.78,BR,1635020168
Nikolskoye,59.7035,30.7861,36.79,93,97,8.75,RU,1635020168
Port Hardy,50.6996,-127.4199,51.98,66,75,6.91,CA,1635020115
Lorengau,-2.0226,147.2712,80.82,81,44,9.31,PG,1635020169
Kununurra,-15.7667,128.7333,78.78,89,2,5.75,AU,1635020146
Esso,55.9333,158.7,25.95,97,100,5.37,RU,1635019938
Bariloche,-41.1456,-71.3082,51.55,50,40,32.21,AR,1635020169
Arraial do Cabo,-22.9661,-42.0278,75.16,78,0,20.71,BR,1635020170
Manitowoc,44.0667,-87.8001,53.85,55,90,1.99,US,1635020170
Port Alfred,-33.5906,26.891,61.2,65,4,24.67,ZA,1635020170
Malpe,13.35,74.7167,78.1,94,100,5.23,IN,1635020170
Xinxiang,35.3089,113.8672,52.38,58,59,3.74,CN,1635020171
Longyearbyen,78.2186,15.6401,21.04,79,40,9.22,SJ,1635020171
Portland,45.5234,-122.6762,55.62,94,90,3.0,US,1635020029
Qaanaaq,77.484,-69.3632,-1.52,58,0,8.05,GL,1635020172
Powell River,49.8496,-124.5361,53.28,87,90,12.66,CA,1635020114
Barrow,71.2906,-156.7887,28.42,86,90,16.11,US,1635020172
Maniitsoq,65.4167,-52.9,26.85,48,100,6.67,GL,1635020172
Upernavik,72.7868,-56.1549,20.05,82,100,8.14,GL,1635020173
Ocampo,21.65,-101.5,65.95,34,76,4.0,MX,1635020173
Ribeira Grande,38.5167,-28.7,68.4,68,75,0.0,PT,1635020173
Isiro,2.7739,27.616,68.16,98,100,2.64,CD,1635020173
Alugan,12.2188,125.4808,79.99,82,100,8.57,PH,1635020174
Vaini,-21.2,-175.2,73.56,78,40,11.5,TO,1635020174
Agadez,19.75,10.25,83.16,15,0,8.25,NE,1635020174
Punta Arenas,-53.15,-70.9167,42.91,61,40,37.98,CL,1635019935
Cabo San Lucas,22.8909,-109.9124,91.51,58,20,13.8,MX,1635019903
Örnsköldsvik,63.2909,18.7153,26.42,100,96,3.44,SE,1635020175
Esim,4.8699,-2.2405,78.37,83,88,5.3,GH,1635020175
Hong Kong,22.2855,114.1577,69.24,81,100,1.01,HK,1635020104
Saint-Leu,-21.15,55.2833,72.95,95,20,4.29,RE,1635020176
Fortuna,40.5982,-124.1573,61.14,76,90,8.01,US,1635020176
Lebu,-37.6167,-73.65,54.7,72,27,9.86,CL,1635020176
Avarua,-21.2078,-159.775,75.25,57,20,9.22,CK,1635020176
Hereford,52.0568,-2.7148,54.91,75,98,12.82,GB,1635020177
Klaksvík,62.2266,-6.589,50.92,91,100,22.48,FO,1635020177
Henties Bay,-22.116,14.2845,59.86,88,0,11.1,NA,1635020177
Sakaiminato,35.55,133.2333,48.18,93,40,4.61,JP,1635020178
Moţăţei,44.0833,23.2,54.55,56,100,17.29,RO,1635020178
Carnarvon,-24.8667,113.6333,64.47,82,0,6.91,AU,1635020178
Kisesa,-3.0833,34.15,74.08,53,90,8.43,TZ,1635020179
Hofn,64.2539,-15.2082,45.16,94,97,7.02,IS,1635020179
Barra do Garças,-15.89,-52.2567,93.78,46,40,9.22,BR,1635020179
Sola,-13.8833,167.55,81.18,76,23,17.74,VU,1635020179
Bluff,-46.6,168.3333,51.57,93,100,3.58,NZ,1635020180
Cape Town,-33.9258,18.4232,60.1,70,22,4.92,ZA,1635019992
Vila Velha,-20.3297,-40.2925,76.95,73,40,13.8,BR,1635020180
San Cristobal,7.7669,-72.225,80.78,56,91,4.27,VE,1635020180
Pangnirtung,66.1451,-65.7125,26.01,95,98,3.6,CA,1635020181
Nelson Bay,-32.7167,152.15,66.96,94,62,3.0,AU,1635020181
Atuona,-9.8,-139.0333,78.31,78,12,18.68,PF,1635020013
Torbay,47.6666,-52.7314,61.68,92,75,14.97,CA,1635020181
Chilca,-12.5211,-76.7372,68.85,79,54,8.59,PE,1635020182
Kumul,42.8,93.45,49.5,42,100,5.28,CN,1635020182
Williston,48.147,-103.618,49.19,55,62,11.99,US,1635019742
Port Blair,11.6667,92.75,79.0,82,96,4.12,IN,1635020182
Balabac,7.9868,117.0645,79.21,83,100,6.71,PH,1635020183
Alenquer,-1.9417,-54.7383,79.14,59,100,1.16,BR,1635020183
Tasiilaq,65.6145,-37.6368,33.96,86,100,4.85,GL,1635020183
Houston,29.7633,-95.3633,87.3,77,75,1.01,US,1635020043
Los Llanos de Aridane,28.6585,-17.9182,67.12,70,75,1.01,ES,1635020184
Kodino,63.7198,39.6447,25.32,96,100,3.06,RU,1635020184
Mount Isa,-20.7333,139.5,69.57,78,6,0.0,AU,1635020184
Departamento de Maldonado,-34.6667,-54.9167,58.39,79,100,11.5,UY,1635019947
Butaritari,3.0707,172.7902,81.0,73,100,7.18,KI,1635020185
Tamandaré,-8.7597,-35.1047,80.53,74,40,9.75,BR,1635020185
Talnakh,69.4865,88.3972,22.01,96,100,6.93,RU,1635020185
Busselton,-33.65,115.3333,51.08,79,100,5.86,AU,1635020186
Eureka,40.8021,-124.1637,61.41,86,100,10.4,US,1635019998
Jijiga,9.35,42.8,62.98,62,2,9.17,ET,1635020186
Avera,33.194,-82.5271,78.67,37,0,3.56,US,1635019940
Saint Anthony,45.0205,-93.218,53.74,49,1,1.01,US,1635020186
Guarapari,-20.6667,-40.4975,76.89,84,31,14.92,BR,1635020187
Rome,43.2128,-75.4557,51.96,67,90,8.05,US,1635020071
Saint Paul Harbor,57.79,-152.4072,44.11,76,90,14.97,US,1635020187
São João da Barra,-21.6403,-41.0511,75.29,82,14,17.11,BR,1635020187
Bukama,-9.2,25.85,72.99,74,100,3.24,CD,1635020188
Farafangana,-22.8167,47.8333,72.97,95,5,6.2,MG,1635020188
Gigmoto,13.7796,124.39,79.72,85,100,5.7,PH,1635020188
Sarakhs,36.5449,61.1577,50.14,40,0,2.3,IR,1635020189
Khatanga,71.9667,102.5,10.11,93,100,16.87,RU,1635020189
Castro,-24.7911,-50.0119,70.92,60,100,7.27,BR,1635020189
Tuktoyaktuk,69.4541,-133.0374,30.2,86,75,5.75,CA,1635020189
Thompson,55.7435,-97.8558,35.76,69,75,4.61,CA,1635020114
Khovd,48.0056,91.6419,34.48,53,3,6.89,MN,1635020190
Elko,41.0002,-115.5012,46.74,74,100,10.0,US,1635020190
Edson,53.5835,-116.4356,41.11,100,90,2.3,CA,1635020114
kimparana,12.8347,-4.9244,85.08,50,100,3.56,ML,1635020191
La Ronge,55.1001,-105.2842,37.65,70,75,13.8,CA,1635020191
Samarai,-10.6167,150.6667,80.01,83,99,12.5,PG,1635020191
Kayerkan,69.3497,87.7602,22.44,92,100,6.17,RU,1635020191
Dingle,10.9995,122.6711,74.98,94,100,4.7,PH,1635020192
Waspán,14.7419,-83.9717,83.88,71,99,4.65,NI,1635020192
Tefé,-3.3542,-64.7114,93.31,62,40,3.44,BR,1635020192
Coxim,-18.5067,-54.76,99.39,28,69,16.64,BR,1635020015
Port Hedland,-20.3167,118.5667,71.65,46,100,0.0,AU,1635020117
Constitución,-35.3333,-72.4167,58.82,61,0,20.15,CL,1635020193
Kapaa,22.0752,-159.319,82.38,77,20,4.0,US,1635020193
Takaungu,-3.6837,39.8566,76.15,84,38,6.87,KE,1635020193
Trelew,-43.249,-65.3051,68.54,11,55,14.03,AR,1635020190
Severo-Kuril'sk,50.6789,156.125,39.47,79,100,9.66,RU,1635020194
Bima,-8.4667,118.7167,76.35,86,50,3.09,ID,1635020194
Maridi,4.9158,29.4742,68.31,93,65,2.89,SS,1635020194
Laguna,38.421,-121.4238,68.02,66,90,4.0,US,1635020195
Tual,-5.6667,132.75,83.61,76,99,13.56,ID,1635020195
Alofi,-19.0595,-169.9187,76.89,61,75,18.41,NU,1635020195
Tuatapere,-46.1333,167.6833,51.33,96,100,1.72,NZ,1635020196
Yining,29.0361,114.5636,51.37,87,22,0.38,CN,1635020196
Merritt Island,28.5392,-80.672,88.16,63,1,8.05,US,1635020156
Necochea,-38.5473,-58.7368,58.03,66,34,22.79,AR,1635020107
Saskylakh,71.9167,114.0833,7.65,95,100,16.51,RU,1635020196
Souillac,-20.5167,57.5167,74.35,79,53,8.3,MU,1635020197
Ulaanbaatar,47.9077,106.8832,15.93,79,0,0.0,MN,1635020197
Aklavik,68.2191,-135.0107,29.23,91,42,6.76,CA,1635020197
Praia da Vitória,38.7333,-27.0667,68.76,83,75,11.68,PT,1635020198
Yar-Sale,66.8333,70.8333,30.72,92,100,10.58,RU,1635020198
Scarborough,54.2797,-0.4044,52.54,75,100,3.0,GB,1635020005
Djenné,13.9061,-4.5533,87.89,44,100,2.15,ML,1635020199
Kaabong,3.4836,34.1492,71.96,49,17,10.54,UG,1635020199
Tomigusuku,26.185,127.675,71.37,68,75,9.22,JP,1635020056
Bambous Virieux,-20.3428,57.7575,74.21,74,57,11.63,MU,1635020199
Moerai,-22.4333,-151.3333,71.65,66,100,11.43,PF,1635020200
Tāybād,34.74,60.7756,50.4,21,0,5.46,IR,1635020200
Fare,-16.7,-151.0167,77.58,79,100,7.83,PF,1635020200
Westport,41.1415,-73.3579,61.25,59,1,1.01,US,1635020201
Ubalá,4.7478,-72.5369,89.98,57,28,9.08,CO,1635020201
Ust'-Tarka,55.5672,75.705,49.48,73,100,17.85,RU,1635020201
Morro Bay,35.3658,-120.8499,72.81,63,14,11.01,US,1635020201
Torrington,41.8007,-73.1212,60.03,58,19,4.0,US,1635020202
Mandera,3.9366,41.867,83.62,57,74,13.56,KE,1635020202
Bredasdorp,-34.5322,20.0403,55.27,71,39,3.89,ZA,1635020202
Chimbote,-9.0853,-78.5783,68.02,73,13,12.26,PE,1635020123
Russell,32.3502,-85.1999,76.6,39,1,3.44,US,1635020203
Ambulu,-8.345,113.6058,75.87,85,100,2.06,ID,1635020203
Doha,25.2867,51.5333,82.38,54,0,5.75,QA,1635019921
Ponta do Sol,32.6667,-17.1,70.72,67,25,6.51,PT,1635020203
Salalah,17.0151,54.0924,77.09,65,0,3.44,OM,1635020204
Leh,34.1667,77.5833,29.73,90,100,2.86,IN,1635019907
Ninghai,29.2892,121.4247,60.73,78,100,5.41,CN,1635020204
Bubaque,11.2833,-15.8333,84.04,70,97,9.42,GW,1635020205
Zaraza,9.3503,-65.3245,88.59,50,91,7.92,VE,1635020205
Naze,28.3667,129.4833,68.04,74,100,17.78,JP,1635020205
Moses Lake,47.1301,-119.2781,59.29,62,75,11.5,US,1635020061
Kajaani,64.2273,27.7285,28.45,80,0,6.91,FI,1635020206
Tabory,58.5198,64.5495,41.23,73,9,11.05,RU,1635020206
Clyde River,70.4692,-68.5914,21.88,80,93,15.86,CA,1635020206
Washougal,45.5826,-122.3534,55.31,95,90,12.66,US,1635020206
Iqaluit,63.7506,-68.5145,33.53,74,90,13.0,CA,1635020200
Gorontalo,0.5412,123.0595,73.94,92,99,2.68,ID,1635020207
Kjøpsvik,68.097,16.3742,37.17,77,100,9.31,NO,1635020207
Dom Pedrito,-30.9828,-54.6731,60.37,95,100,5.32,BR,1635020208
Saint-Augustin,51.226,-58.6502,40.68,88,100,16.8,CA,1635020208
Havøysund,70.9963,24.6622,32.88,55,100,17.67,NO,1635020208
Superior,46.7208,-92.1041,51.48,56,1,4.61,US,1635020208
Vicuña,-30.0319,-70.7081,78.76,26,0,8.88,CL,1635020209
Batagay,67.6333,134.6333,1.81,97,100,4.5,RU,1635019937
Kendari,-3.945,122.4989,74.93,93,89,3.22,ID,1635020209
Provideniya,64.3833,-173.3,22.95,78,100,8.93,RU,1635020210
‘Ewa Beach,21.3156,-158.0072,85.95,48,1,9.22,US,1635020210
Cherskiy,68.75,161.3,-2.72,100,98,2.46,RU,1635020210
Granadilla de Abona,28.1188,-16.576,67.86,72,40,18.41,ES,1635020211
Caravelas,-17.7125,-39.2481,76.6,76,26,7.58,BR,1635020211
Pierre,44.3683,-100.351,56.05,49,1,8.01,US,1635019946
Vila Franca do Campo,37.7167,-25.4333,66.61,81,3,6.17,PT,1635020212
Tiznit Province,29.5833,-9.5,64.24,75,0,1.48,MA,1635020212
Mahibadhoo,3.7833,72.9667,82.42,74,63,14.7,MV,1635020212
Port Moresby,-9.4431,147.1797,74.25,83,18,3.0,PG,1635020213
Kuril'sk,45.2333,147.8833,45.23,64,62,14.76,RU,1635020213
Panjāb,34.388,67.0233,32.77,36,0,4.32,AF,1635020213
Canoinhas,-26.1772,-50.39,62.92,91,100,2.98,BR,1635020213
Quatre Cocos,-20.2078,57.7625,74.08,74,69,11.14,MU,1635020214
Mitú,1.1983,-70.1733,83.79,76,93,1.81,CO,1635020214
Kavieng,-2.5744,150.7967,81.5,78,96,13.2,PG,1635020214
Zhezkazgan,47.8043,67.7144,43.66,42,20,8.86,KZ,1635020215
Yerbogachën,61.2767,108.0108,30.51,81,43,10.04,RU,1635020215
Oktyabr'skiy,54.4815,53.471,44.55,82,96,6.46,RU,1635020215
Zarand,30.8127,56.564,55.6,23,0,1.9,IR,1635020216
Baiyin,36.5583,104.2081,36.48,72,56,1.16,CN,1635020216
Dwārka,22.2394,68.9678,81.72,62,87,16.37,IN,1635020216
Coquimbo,-29.9533,-71.3436,62.33,59,0,12.66,CL,1635020088
Gravdal,68.1214,13.5031,39.47,50,100,1.9,NO,1635020217
Geraldton,-28.7667,114.6,52.21,93,6,5.75,AU,1635020217
Tabas,33.5959,56.9244,58.35,16,0,1.97,IR,1635020217
Carballo,43.213,-8.691,56.86,89,20,3.96,ES,1635020217
Porto Recanati,43.4365,13.6613,61.99,58,96,7.85,IT,1635020218
Pacific Grove,36.6177,-121.9166,69.62,75,1,5.01,US,1635020218
Price,39.5994,-110.8107,56.12,50,90,0.0,US,1635020218
Plaridel,14.8872,120.8572,79.11,92,100,7.65,PH,1635020219
Huarmey,-10.0681,-78.1522,69.89,70,13,12.93,PE,1635020219
Neyshabur,36.2133,58.7958,53.4,19,0,0.69,IR,1635020219
Dikson,73.5069,80.5464,9.07,87,98,12.53,RU,1635020219
Along,28.1667,94.7667,63.28,88,14,1.83,IN,1635020220
Paamiut,61.994,-49.6678,32.49,52,99,21.16,GL,1635020221
Pisco,-13.7,-76.2167,66.25,68,6,24.16,PE,1635020222
Halifax,44.6453,-63.5724,62.47,97,100,1.99,CA,1635020018
Sampit,-2.5333,112.95,74.17,98,69,0.65,ID,1635020222
Antalaha,-14.9003,50.2788,74.26,93,77,1.43,MG,1635020223
Opuwo,-18.0607,13.84,69.71,22,5,6.53,NA,1635020223
Slidell,30.2752,-89.7812,84.99,68,75,4.0,US,1635020223
Benguela,-12.5763,13.4055,74.68,73,72,2.66,AO,1635020224
Turukhansk,65.8167,87.9833,32.34,98,100,13.49,RU,1635020224
Daru,-9.0763,143.2092,79.72,82,90,13.71,PG,1635020225
Ahipara,-35.1667,173.1667,61.34,97,87,5.88,NZ,1635020225
Tripoli,32.8752,13.1875,79.23,48,100,1.59,LY,1635019956
Tommot,58.9564,126.2925,33.31,89,100,3.91,RU,1635020225
Cayenne,4.9333,-52.3333,78.1,87,90,3.44,GF,1635020117
Médéa,36.2642,2.7539,52.25,92,39,4.14,DZ,1635020226
Codrington,-38.2667,141.9667,48.56,73,62,13.15,AU,1635020226
Kahului,20.8947,-156.47,83.46,75,40,19.57,US,1635020226
Rāvar,31.2656,56.8055,57.58,18,0,1.7,IR,1635020227
Faanui,-16.4833,-151.75,78.06,73,100,3.04,PF,1635020227
Baní,18.2833,-70.3333,87.24,62,8,12.12,DO,1635020227
Morgan City,29.6994,-91.2068,85.03,64,94,6.82,US,1635020228
Teahupoo,-17.8333,-149.2667,75.16,85,100,13.02,PF,1635020228
Lavrentiya,65.5833,-171.0,23.27,85,100,9.57,RU,1635019938
Margate,51.3813,1.3862,55.31,75,15,1.01,GB,1635020228
Kavaratti,10.5669,72.642,80.91,77,88,0.98,IN,1635020229
Laas,46.6166,10.7002,43.68,55,0,0.56,IT,1635020229
Östersund,63.1792,14.6357,36.05,87,40,5.75,SE,1635020229
Mahon,39.8885,4.2658,64.96,77,20,16.11,ES,1635020229
Ugoofaaru,5.6667,73.0,81.95,76,92,14.99,MV,1635020230
Leningradskiy,69.3833,178.4167,8.49,89,100,7.85,RU,1635020230
Santa Isabel,-23.3156,-46.2214,88.38,34,29,6.55,BR,1635019941
Buta,2.7858,24.73,71.37,96,68,2.73,CD,1635020230
Laurel,39.0993,-76.8483,69.01,69,90,3.0,US,1635020214
Semey,50.4111,80.2275,44.82,59,90,17.13,KZ,1635020231
Mildura,-34.2,142.15,46.36,81,0,6.91,AU,1635020231
Atkinson,42.8384,-71.147,59.52,54,1,1.99,US,1635020231
Ongole,15.5,80.05,80.31,73,90,3.83,IN,1635020068
Vigia,-0.8583,-48.1417,84.25,83,94,9.01,BR,1635020107
Goundam,16.4145,-3.6708,93.22,17,4,8.99,ML,1635020232
Vao,-22.6667,167.4833,71.82,79,20,14.38,NC,1635020232
Qeshm,26.9581,56.2719,78.67,64,0,7.76,IR,1635020110
Carauari,-4.8828,-66.8958,85.82,66,100,2.71,BR,1635020232
Borovoy,55.4333,86.0833,42.08,87,90,17.9,RU,1635020233
Lagoa,39.05,-27.9833,66.4,68,24,14.09,PT,1635020233
San Luis,-33.295,-66.3356,69.8,19,0,17.47,AR,1635020233
Puerto Castilla,16.0167,-85.9667,89.55,62,40,6.91,HN,1635020234
Jatiroto,-7.8833,111.1167,74.53,92,96,1.68,ID,1635020234
Acapulco de Juárez,16.8634,-99.8901,75.02,94,90,14.97,MX,1635020116
Kananga,-5.8958,22.4178,74.28,69,58,1.48,CD,1635020234
Norman Wells,65.282,-126.8329,42.84,65,40,4.61,CA,1635020235
Rørvik,64.8621,11.2373,44.01,71,99,9.33,NO,1635020235
Manado,1.487,124.8455,75.97,94,40,1.14,ID,1635020133
Belyy Yar,53.6039,91.3903,44.49,53,0,8.95,RU,1635020235
Walvis Bay,-22.9575,14.5053,60.1,72,0,8.05,NA,1635020236
Shimoda,34.6667,138.95,53.1,67,100,10.02,JP,1635020236
Vostok,46.4856,135.8833,28.47,89,7,5.97,RU,1635020236
Plettenberg Bay,-34.0527,23.3716,56.5,78,75,9.64,ZA,1635020236
Saddiqabad,28.3062,70.1307,76.01,42,0,13.51,PK,1635020237
Acajutla,13.5928,-89.8275,82.89,76,83,7.52,SV,1635020237
Airai,-8.9266,125.4092,60.82,79,21,2.28,TL,1635020237
Natal,-5.795,-35.2094,83.05,74,20,11.5,BR,1635020238
Huanren,41.2647,125.3667,37.56,78,0,1.16,CN,1635020238
Lompoc,34.6391,-120.4579,74.7,63,1,12.66,US,1635019967
Nouadhibou,20.931,-17.0347,68.92,80,0,21.9,MR,1635020238
La Primavera,5.4906,-70.4092,85.24,66,93,6.91,CO,1635020239
Kruisfontein,-34.0033,24.7314,57.88,65,68,14.67,ZA,1635020239
Ostrovnoy,68.0531,39.5131,27.72,95,100,18.79,RU,1635020239
Liverpool,53.4106,-2.9779,53.76,75,75,3.0,GB,1635020039
Pathein,16.7833,94.7333,75.06,92,86,0.98,MM,1635020240
Thaba-Tseka,-29.522,28.6084,50.32,42,0,3.76,LS,1635020240
Alice Springs,-23.7,133.8833,67.55,32,99,11.5,AU,1635020240
Beitbridge,-22.2167,30.0,93.18,23,58,14.45,ZW,1635020240
Sinnamary,5.3833,-52.95,80.94,84,100,11.07,GF,1635020241
Olafsvik,64.8945,-23.7142,45.46,92,100,12.55,IS,1635020241
Grottammare,42.9888,13.8649,62.67,82,100,8.81,IT,1635020241
Ginir,7.1333,40.7,58.44,43,0,5.82,ET,1635020242
Ferrol,43.4832,-8.2369,57.72,80,18,7.61,ES,1635020034
Bonavista,48.6499,-53.1147,57.2,99,100,8.08,CA,1635020242
Charters Towers,-20.1,146.2667,70.99,86,91,6.04,AU,1635020243
Virginia Beach,36.8529,-75.978,74.05,59,20,5.75,US,1635020243
Cervo,43.6702,-7.4101,55.96,75,73,2.82,ES,1635020243
Ancud,-41.8697,-73.8203,59.43,60,4,11.14,CL,1635020243
Beloha,-25.1667,45.05,70.68,85,1,3.94,MG,1635020244
Nome,64.5011,-165.4064,30.27,75,75,5.75,US,1635020196
Port Elizabeth,-33.918,25.5701,60.1,77,40,19.57,ZA,1635020244
Saldanha,-33.0117,17.9442,59.47,72,35,6.89,ZA,1635020244
Strelka,58.0728,93.0344,37.2,96,100,13.2,RU,1635020245
Srednekolymsk,67.45,153.6833,-14.44,99,35,4.16,RU,1635020245
Okhotsk,59.3833,143.3,15.98,78,2,15.61,RU,1635020245
Kiruna,67.8557,20.2251,11.32,85,11,12.66,SE,1635020246
Nizhniy Baskunchak,48.2198,46.8311,57.18,63,100,10.36,RU,1635020246
Nikolayevka,53.1257,47.2041,46.74,94,100,7.05,RU,1635020246
San Policarpo,12.1791,125.5072,80.56,81,100,8.61,PH,1635020247
Ust-Nera,64.5667,143.2,-1.21,99,73,4.38,RU,1635020247
